98
none 8	20 24 39 46 52 91 99 106 0
none 6	34 52 63 74 75 108 1
none 8	6 24 26 34 39 59 72 93 2
none 6	15 21 24 33 35 66 3
none 6	18 23 59 94 103 105 4
none 5	23 33 59 77 110 5
none 5	32 33 39 59 93 6
none 6	2 38 47 83 103 109 7
none 4	11 55 58 65 8
none 5	19 30 65 70 76 9
none 9	23 24 35 42 46 72 82 94 101 10
none 5	20 35 63 74 75 11
none 10	6 10 13 24 37 67 91 94 99 103 12
none 10	10 22 24 72 86 91 94 99 103 106 13
none 10	23 24 71 86 91 92 95 96 104 110 14
none 6	14 31 35 43 44 62 15
none 8	7 9 10 13 24 29 98 103 16
none 6	10 29 72 83 100 103 17
none 7	21 35 41 42 46 68 76 18
none 11	18 21 35 41 48 51 72 84 94 102 103 19
none 7	23 33 59 73 77 103 104 20
none 9	31 51 73 79 83 84 94 102 103 21
none 6	1 3 23 63 74 104 22
none 6	21 35 42 68 76 102 23
none 5	7 17 45 69 107 24
none 5	21 35 41 68 69 25
none 7	23 24 33 39 50 60 72 26
none 6	27 53 56 94 96 103 27
none 7	21 35 41 42 43 68 76 28
none 6	54 81 83 94 103 107 29
none 7	7 10 13 94 99 103 106 30
none 8	7 10 13 22 31 51 94 103 31
none 8	5 24 33 39 61 72 82 94 32
none 5	10 36 38 98 103 33
none 6	2 32 38 59 96 103 34
none 11	24 38 71 86 89 91 92 94 95 99 104 35
none 6	6 24 59 77 94 103 36
none 5	17 91 94 99 107 37
none 6	6 18 39 59 82 103 38
none 5	7 8 9 45 49 39
none 4	1 3 78 104 40
none 14	11 15 20 33 34 39 46 59 72 74 75 91 103 108 41
none 6	10 44 82 83 103 106 42
none 4	20 63 74 75 43
none 5	6 59 72 94 103 44
none 9 	24 39 40 41 50 52 72 94 103 45
none 5	15 21 40 46 64 46
none 8	11 23 51 54 59 83 94 103 47
none 11	7 10 13 23 33 39 46 50 74 91 99 48
none 6	23 33 67 72 94 101 49
none 6	23 50 55 79 94 103 50
none 15	7 10 11 13 23 33 46 50 60 72 81 91 94 99 103 51
none 6	6 21 26 76 93 102 52
none 10	23 24 28 32 38 59 91 94 99 103 53
none 6	35 41 42 68 76 90 54
none 8	9 58 60 74 87 94 96 103 55
none 14	7 8 9 10 17 23 33 45 61 62 73 94 98 103 56
none 12	7 8 9 10 11 13 45 49 62 73 94 103 57
none 6	11 33 36 41 58 59 58
none 13	5 11 23 24 34 39 50 52 59 60 72 94 103 59
none 6	11 50 58 59 65 103 60
none 5	11 46 50 58 94 61
none 6	6 11 37 58 83 100 62
none 5	9 58 65 94 103 63
none 5	12 23 24 25 88 64
none 5	13 72 91 99 103 65
none 7	12 15 16 23 25 46 72 66
none 6	29 62 65 91 99 103 67
none 5	7 9 72 91 99 68
none 6	6 24 39 40 59 72 69
none 6	10 23 72 93 99 103 70
man 5  17 45 46 98 103 71
none 11	11 15 20 24 33 34 72 74 75 103 108 72
none 5	21 35 41 57 102 73
none 10	23 39 45 54 57 82 83 93 94 103 74
none 9	11 46 50 55 68 76 91 94 103 75
none 6	11 55 58 82 83 103 76
none 4 	27 38 53 56 77
none 10	11 18 23 24 46 50 60 62 72 79 78
none 6	18 59 80 94 103 105 79
none 8	5 23 39 40 46 52 74 75 80
none 5	15 41 42 64 72 81
none 5	10 91 94 103 106 82
none 6	5 15 23 33 61 103 83
none 5	39 40 46 83 103 84
none 7	7 9 17 35 45 66 107 85
none 9	10 24 79 80 81 91 94 103 106 86
none 7	23 53 87 89 92 95 104 87
none 8	7 10 29 43 65 83 94 103 88
none 5	7 17 45 98 107 89
none 4	85 92 97 109 90
none 6	21 35 41 42 57 76 91
none 6	4 7 17 48 94 103 92
none 10	23 24 46 71 72 88 92 94 104 110 93
none 5	23 86 89 94 110 94
none 10	6 13 35 39 41 59 72 91 94 99 95
none 5	13 37 67 91 99 96
none 5	7 44 82 83 103 97
